Role,I.I,I.II,II.I,II.II,III.I,III.II,IV.I,IV.II,V.I,I.I,I.II,II.I,II.II,III.I,III.II,IV.I,IV.II,V.I,I.I,I.II,II.I,II.II,III.I,III.II,IV.I,IV.II,V.I
ALL,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0
BOTTOM,0,42,0,0,69,0,27,9,3,0,42,0,0,69,0,27,9,3,0,42,0,0,69,0,27,9,3
COBWEB,0,0,0,0,9,0,3,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,9,0,3,0,0
DEMETRIUS,3,0,18,6,0,63,12,0,42,3,0,18,6,0,63,12,0,42,3,0,18,6,0,63,12,0,42
EGEUS,12,0,0,0,0,0,9,0,0,12,0,0,0,0,0,9,0,0,12,0,0,0,0,0,9,0,0
FLUTE,0,9,0,0,9,0,0,12,0,0,9,0,0,9,0,0,12,0,0,9,0,0,9,0,0,12,0
Fairy,0,0,9,3,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,9,3,0,0,0,0,0
HELENA,18,0,18,15,0,51,6,0,0,18,0,18,15,0,51,6,0,0,18,0,18,15,0,51,6,0,0
HERMIA,51,0,0,15,0,72,6,0,0,51,0,0,15,0,72,6,0,0,51,0,0,15,0,72,6,0,0
HIPPOLYTA,3,0,0,0,0,0,3,0,36,3,0,0,0,0,0,3,0,36,3,0,0,0,0,0,3,0,36
LYSANDER,33,0,0,21,0,66,9,0,21,33,0,0,21,0,66,9,0,21,33,0,0,21,0,66,9,0,21
Lion,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
MOTH,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0
MUSTARDSEED,0,0,0,0,9,0,6,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,9,0,6,0,0
Moonshine,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9
OBERON,0,0,33,3,0,30,15,0,6,0,0,33,3,0,30,15,0,6,0,0,33,3,0,30,15,0,6
PEASEBLOSSOM,0,0,0,0,9,0,3,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,9,0,3,0,0
PHILOSTRATE,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18
PUCK,0,0,21,3,9,54,6,0,6,0,0,21,3,9,54,6,0,6,0,0,21,3,9,54,6,0,6
Prologue,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
Pyramus,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,27
QUINCE,0,60,0,0,39,0,0,15,0,0,60,0,0,39,0,0,15,0,0,60,0,0,39,0,0,15,0
SNOUT,0,3,0,0,18,0,0,0,0,0,3,0,0,18,0,0,0,0,0,3,0,0,18,0,0,0,0
SNUG,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0
STARVELING,0,3,0,0,6,0,0,3,0,0,3,0,0,6,0,0,3,0,0,3,0,0,6,0,0,3,0
THESEUS,27,0,0,0,0,0,18,0,99,27,0,0,0,0,0,18,0,99,27,0,0,0,0,0,18,0,99
TITANIA,0,0,18,3,18,0,27,0,3,0,0,18,3,18,0,27,0,3,0,0,18,3,18,0,27,0,3
Thisbe,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24
Wall,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
